videoid,contentUrl,duration,page_dir,name
1060055282,https://ak.picdn.net/shutterstock/videos/1060055282/preview/stock-footage-winter-holiday-christmas-gifts-festive-decoration-present-boxes-wrapped-white-paper-taped-red.mp4,PT00H00M21S,116751_116800,Winter holiday. christmas gifts. festive decoration. present boxes wrapped white paper taped red ribbon on pine branch composition snow falling fairy lights bokeh background.
1030451645,https://ak.picdn.net/shutterstock/videos/1030451645/preview/stock-footage-las-vegas-usa-march-time-lapse-of-cars-traffic-las-vegas-strip-tourist-attraction-night.mp4,PT00H00M11S,188751_188800,"Las vegas, usa - march 2, 2010 time lapse of cars traffic las vegas strip tourist attraction night illuminated"
1029514757,https://ak.picdn.net/shutterstock/videos/1029514757/preview/stock-footage-scum-of-boat-on-waves-in-slow-motion.mp4,PT00H00M09S,122001_122050,Scum of boat on waves in slow motion 
1011616703,https://ak.picdn.net/shutterstock/videos/1011616703/preview/stock-footage-red-cherries-for-textures.mp4,PT00H00M09S,121251_121300,Red cherries for textures
10319444,https://ak.picdn.net/shutterstock/videos/10319444/preview/stock-footage-grandmother-watches-over-granddaughters-shoulder-as-she-mixes-ingredients-in-bowl-shot-on-canon-d.mp4,PT00H00M18S,134251_134300,Grandmother watches over granddaughters shoulder as she mixes ingredients in bowl.shot on canon 5d mk2 at at a frame rate of 25 fps
9441614,https://ak.picdn.net/shutterstock/videos/9441614/preview/stock-footage-mature-woman-s-hand-adds-vegetables-and-condiments-to-food-processor.mp4,PT00H00M06S,194001_194050,Mature woman's hand adds vegetables and condiments to food processor.
29803996,https://ak.picdn.net/shutterstock/videos/29803996/preview/stock-footage-cow-at-rural-area.mp4,PT00H00M11S,140101_140150,Cow at rural area
1021371541,https://ak.picdn.net/shutterstock/videos/1021371541/preview/stock-footage-piazza-del-popolo-square-in-rome-italy.mp4,PT00H00M15S,134901_134950,"Piazza del popolo, square in rome. italy"
1034279813,https://ak.picdn.net/shutterstock/videos/1034279813/preview/stock-footage-happy-photographer-woman-taking-a-photo-of-morning-eiffel-tower-view-in-paris-with-vintage-camera.mp4,PT00H00M09S,011051_011100,"Happy photographer woman taking a photo of morning eiffel tower view in paris with vintage camera, tilt up close-up shot"
1065329983,https://ak.picdn.net/shutterstock/videos/1065329983/preview/stock-footage-marker-line-icon-animation-on-the-green-screen-background-k-video-chroma-key-useful-for-website.mp4,PT00H00M06S,086651_086700,"Marker line icon animation on the green screen background. 4k video. chroma key. useful for website, banner, motion graphics, apps, and social media posts."
7098607,https://ak.picdn.net/shutterstock/videos/7098607/preview/stock-footage-busy-ants-working.mp4,PT00H00M26S,087601_087650,Busy ants working
17387311,https://ak.picdn.net/shutterstock/videos/17387311/preview/stock-footage-retro-light-bulb-lighting-series-traditional-classic-ceiling-light-bulb-lighting-for-video-opening.mp4,PT00H00M21S,080351_080400,"Retro light bulb lighting series
traditional classic ceiling light bulb lighting for video opening or closing background.
"
1037875331,https://ak.picdn.net/shutterstock/videos/1037875331/preview/stock-footage-man-in-suit-talking-on-smartphone.mp4,PT00H00M11S,017151_017200,Man in suit talking on smartphone
12283610,https://ak.picdn.net/shutterstock/videos/12283610/preview/stock-footage-coyote-standing-on-grass-looking-around-in-forest.mp4,PT00H00M08S,019301_019350,Coyote standing on grass looking around in forest 2
1025139356,https://ak.picdn.net/shutterstock/videos/1025139356/preview/stock-footage-a-happy-husband-together-with-his-wife-for-a-consultation-in-the-office-of-ultrasound-diagnostics.mp4,PT00H00M09S,030401_030450,A happy husband together with his wife for a consultation in the office of ultrasound diagnostics. the young couple holding hands on the screen and smiling.
26229290,https://ak.picdn.net/shutterstock/videos/26229290/preview/stock-footage-red-panda-feeding.mp4,PT00H00M10S,126801_126850,Red panda feeding
1571302,https://ak.picdn.net/shutterstock/videos/1571302/preview/stock-footage-seal-sleeping-a-rock-near-the-coastline.mp4,PT00H00M18S,058201_058250,Seal sleeping a rock near the coastline
25254380,https://ak.picdn.net/shutterstock/videos/25254380/preview/stock-footage-extreme-long-shot-of-lake-surrounded-by-a-dense-forest-during-a-sunny-autumn-day.mp4,PT00H00M11S,120501_120550,Extreme long shot of lake surrounded by a dense forest during a sunny autumn day
6333881,https://ak.picdn.net/shutterstock/videos/6333881/preview/stock-footage-glass-bottles-with-different-scents-and-exotic-types-of-essential-oils-for-the-body-on-market-table.mp4,PT00H00M09S,185451_185500,Glass bottles with different scents and exotic types of essential oils for the body on market table
32946037,https://ak.picdn.net/shutterstock/videos/32946037/preview/stock-footage-outline-map-of-west-virginia-black-contour-on-white-background.mp4,PT00H00M08S,185151_185200,Outline map of west virginia. black contour on white background.
1063230235,https://ak.picdn.net/shutterstock/videos/1063230235/preview/stock-footage-aerial-view-of-combine-harvester-harvest-of-wheat-field-industrial-footage-on-agricultural-theme.mp4,PT00H00M06S,120501_120550,Aerial view of combine harvester. harvest of wheat field. industrial footage on agricultural theme. agriculture in european union from the air.
